fda_drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
leeloo 01mg002 mg,leeloo 01mg002 mg,leeloo 01mg002 mg,,,
lekoklar xl,lekoklar xl,lekoklar xl,,,
lendormin,lendormin,lendormin,,,
leponex clozaril,leponex clozaril,leponex clozaril,,,
lepticur 10 mg comprim,lepticur 10 mg comprim,lepticur 10 mg comprim,,,
lepticure,lepticure,lepticure,,,
lergigan promethazine,lergigan promethazine,lergigan promethazine,,,
let gel kit lidocaine 4 epinephrine 08 tetracaine 05,let gel kit lidocaine 4 epinephrine 08 tetracaine 05,let gel kit lidocaine 4 epinephrine 08 tetracaine 05,,,
letrozolo sandoz,letrozolo sandoz,letrozolo sandoz,,,
levabuterol inhaled 063mg3ml sol,levabuterol inhaled 063mg3ml sol,levabuterol inhaled 063mg3ml sol,,,
levipil,levipil,levipil,,,
levofolinate 06682101,levofolinate 06682101,levofolinate 06682101,,,
levofree,levofree,levofree,,,
levonorgestrel and ee tablet usp 01mg002mg and ee tablet usp 01 mg,levonorgestrel and ee usp 01mg002mg and ee usp 01 mg,levonorgestrel and ee usp 01mg002mg and ee usp 01 mg,,,
levonorgestrel and ethinyl estradiol tablets,levonorgestrel and ethinyl estradiol,levonorgestrel and ethinyl estradiol,,,
levonorgestrel intrauterine device,levonorgestrel intrauterine device,levonorgestrel intrauterine device,,,
levonorgestrel iud 52 mg bayer,levonorgestrel iud 52 mg bayer,levonorgestrel iud 52 mg bayer,,,
levonorgestrel ius unknown,levonorgestrel ius unknown,levonorgestrel ius unknown,,,
levonorgestrel unk,levonorgestrel unk,levonorgestrel unk,,,
levonorgestrelethinyl estradiol,levonorgestrelethinyl estradiol,levonorgestrelethinyl estradiol,,,
levosulpiride,levosulpiride,levosulpiride,,,
levothyroxine levothyroxine,levothyroxine levothyroxine,levothyroxine levothyroxine,,,
levothyroxine 50mcg,levothyroxine 50mcg,levothyroxine 50mcg,,,
levothyroxine sodium for injection manufacturer unknown,levothyroxine sodium for manufacturer unknown,levothyroxine for manufacturer unknown,,,
levothyroxine sodium unk,levothyroxine sodium unk,levothyroxine unk,,,
lexofloxacin 500mg qua,lexofloxacin 500mg qua,lexofloxacin 500mg qua,,,
liberty cbd tincture jacksons courage,liberty cbd tincture jacksons courage,liberty cbd tincture jacksons courage,,,
lignocaine,lignocaine,lignocaine,,,
lignocaine 00033401,lignocaine 00033401,lignocaine 00033401,,,
lignocaine hydrochloride,lignocaine hydrochloride,lignocaine,,,
lil drug store ibuprofen,lil drug store ibuprofen,lil drug store ibuprofen,,,
limatrigine 250 mg pku,limatrigine 250 mg pku,limatrigine 250 mg pku,,,
linear gadolinium,linear gadolinium,linear gadolinium,,,
lipamphotericin,lipamphotericin,lipamphotericin,,,
liposomal amphotericin b,liposomal amphotericin b,liposomal amphotericin b,,,
liposomal doxorubicin,liposomal doxorubicin,liposomal doxorubicin,,,
liposome incorporated dexamethasone,liposome incorporated dexamethasone,liposome incorporated dexamethasone,,,
liprolog 100eml,liprolog 100eml,liprolog 100eml,,,
liquemin 00027701,liquemin 00027701,liquemin 00027701,,,
lispro insulin,lispro insulin,lispro insulin,,,
litalir,litalir,litalir,,,
lithiofor,lithiofor,lithiofor,,,
little remedies saline spray medtech products inc,little remedies saline medtech products inc,little remedies saline medtech products inc,,,
live attenuated varicella vaccine,live attenuated varicella vaccine,live attenuated varicella vaccine,,,
lo loestrin fe norethindrone acetate ethinylestradiol ferrous fumarate tablet 100010ug,lo loestrin fe norethindrone acetate ethinylestradiol ferrous fumarate 100010ug,lo loestrin fe norethindrone ethinylestradiol ferrous 100010ug,,,
loestrin fe 1530,loestrin fe 1530,loestrin fe 1530,,,
loestrin fe 1530 28 day,loestrin fe 1530 28 day,loestrin fe 1530 28 day,,,
lojuxta,lojuxta,lojuxta,,,
lolistrel 100 microgrammes20 microgrammes comprime enrobe,lolistrel 100 microgrammes20 microgrammes comprime enrobe,lolistrel 100 microgrammes20 microgrammes comprime enrobe,,,
lomustin ccnu,lomustin ccnu,lomustin ccnu,,,
lomustina,lomustina,lomustina,,,
lonapegsomatropintcgd,lonapegsomatropintcgd,lonapegsomatropintcgd,,,
lonarid mono,lonarid mono,lonarid mono,,,
lonazep,lonazep,lonazep,,,
loquen quetiapine fumarate,loquen quetiapine fumarate,loquen quetiapine,,,
low dose aspirin,low dose aspirin,low dose aspirin,,,
loxen,loxen,loxen,,,
lucille,lucille,lucille,,,
luminespib,luminespib,luminespib,,,
lumirelax,lumirelax,lumirelax,,,
lumirelax methocarbamol,lumirelax methocarbamol,lumirelax methocarbamol,,,
lumirelax methyl nicotinatemethocarbamol,lumirelax methyl nicotinatemethocarbamol,lumirelax methyl nicotinatemethocarbamol,,,
lumirelax methocarbamol,lumirelax methocarbamol,lumirelax methocarbamol,,,
lutiz teva italia srl,lutiz teva italia srl,lutiz teva italia srl,,,
lyrinel xl,lyrinel xl,lyrinel xl,,,
lysanxia,lysanxia,lysanxia,,,
lysanxia 15 mgml solution buvable en gouttes,lysanxia 15 mgml buvable en gouttes,lysanxia 15 mgml buvable en gouttes,,,
lysergic acid,lysergic acid,lysergic acid,,,
lysergide,lysergide,lysergide,,,
lactomin,lactomin,lactomin,,,
lamitrin,lamitrin,lamitrin,,,
lamotrigin aristo,lamotrigin aristo,lamotrigin aristo,,,
lamotrigin aristo 100 mg tabletten,lamotrigin aristo 100 mg tabletten,lamotrigin aristo 100 mg tabletten,,,
lamotrigin desitin,lamotrigin desitin,lamotrigin desitin,,,
lamotrigin heumann,lamotrigin heumann,lamotrigin heumann,,,
ledertrexato,ledertrexato,ledertrexato,,,
lentinan,lentinan,lentinan,,,
lepticur,lepticur,lepticur,,,
levipil,levipil,levipil,,,
levofolinate,levofolinate,levofolinate,,,
levonorgestrel unspecified,levonorgestrel unspecified,levonorgestrel unspecified,,,
levonorgestrelethinylestradiol,levonorgestrelethinylestradiol,levonorgestrelethinylestradiol,,,
levonorgestrelethinylestradiol 15030 g,levonorgestrelethinylestradiol 15030 g,levonorgestrelethinylestradiol 15030 g,,,
levonorgestrelethinyl estradiol,levonorgestrelethinyl estradiol,levonorgestrelethinyl estradiol,,,
levothyroxine sodium tablets usp,levothyroxine sodium usp,levothyroxine usp,,,
lexotan,lexotan,lexotan,,,
libaoduo,libaoduo,libaoduo,,,
liberty cbd tincture jacksons courage,liberty cbd tincture jacksons courage,liberty cbd tincture jacksons courage,,,
lilica,lilica,lilica,,,
lipid emulsion,lipid emulsion,lipid emulsion,,,
liposic ophthalmic drops,liposic ophthalmic,liposic ophthalmic,,,
liposomal amphotericinb,liposomal amphotericinb,liposomal amphotericinb,,,
liprolog lispro,liprolog lispro,liprolog lispro,,,
loette,loette,loette,,,
loette28,loette28,loette28,,,
lowmolecular weight heparin,lowmolecular weight heparin,lowmolecular weight heparin,,,
lupins ranibizumab,lupins ranibizumab,lupins ranibizumab,,,
lutenyl,lutenyl,lutenyl,,,
macladin tm,macladin tm,macladin tm,,,
magne b6,magne b6,magne b6,,,
magnesium sulfat,magnesium sulfat,sulfat,,,
magnesium sulfate 406 meqml,magnesium sulfate 406 meqml,406 meqml,,,
magnesium sulfate unspecifiedpolyethylene glycol 3350potassium chloridepotassium sulfatesodium bicarbonatesodium chloridesodium sulfate,magnesium sulfate unspecifiedpolyethylene glycol 3350potassium chloridepotassium sulfatesodium bicarbonatesodium chloridesodium sulfate,unspecifiedpolyethylene glycol 3350potassium chloridepotassium sulfatesodium bicarbonatesodium chloridesodium,,,
malonetta,malonetta,malonetta,,,
maobushisaishinto,maobushisaishinto,maobushisaishinto,,,
marshmallow,marshmallow,marshmallow,,,
marvelon,marvelon,marvelon,,,
marzulenes,marzulenes,marzulenes,,,
mastisol liquid adhesive,mastisol liquid adhesive,mastisol liquid adhesive,,,
maveral,maveral,maveral,,,
mcp retard 30mg,mcp retard 30mg,mcp retard 30mg,,,
mcp tropfen,mcp tropfen,mcp tropfen,,,
mdma,mdma,mdma,,,
measles vaccine wmumps vaccinerub09408601,measles vaccine wmumps vaccinerub09408601,measles vaccine wmumps vaccinerub09408601,,,
measles vaccinemumps vaccinerubella vaccinevaricella zoster vaccine,measles vaccinemumps vaccinerubella vaccinevaricella zoster vaccine,measles vaccinemumps vaccinerubella vaccinevaricella zoster vaccine,,,
measles rubella virus vaccine live nos,measles rubella virus vaccine live nos,measles rubella virus vaccine live nos,,,
mecapegfilgrastim,mecapegfilgrastim,mecapegfilgrastim,,,
medical devices,medical devices,medical devices,,,
medical tape,medical tape,medical tape,,,
medikinet 00083801,medikinet 00083801,medikinet 00083801,,,
medikinet 00083802,medikinet 00083802,medikinet 00083802,,,
medikinet mr,medikinet mr,medikinet mr,,,
medikinet nos,medikinet nos,medikinet nos,,,
medikinet retard,medikinet retard,medikinet retard,,,
medikinet methylphenidate hydrochloride,medikinet methylphenidate hydrochloride,medikinet methylphenidate,,,
medikinetmethylphenidate hydrochloride,medikinetmethylphenidate hydrochloride,medikinetmethylphenidate,,,
meditonsin,meditonsin,meditonsin,,,
medtronic insulin pump,medtronic insulin pump,medtronic insulin pump,,,
mefenacid,mefenacid,mefenacid,,,
megafol,megafol,megafol,,,
meningococcal group b placebo,meningococcal group b placebo,meningococcal group b placebo,,,
meningococcal group b rlp2086,meningococcal group b rlp2086,meningococcal group b rlp2086,,,
mepact mifamurtide mifamurtide,mepact mifamurtide mifamurtide,mepact mifamurtide mifamurtide,,,
mephenoxalone,mephenoxalone,mephenoxalone,,,
mercalm,mercalm,mercalm,,,
mercaptopurina 405a,mercaptopurina 405a,mercaptopurina 405a,,,
mercilon,mercilon,mercilon,,,
meropen 01250501,meropen 01250501,meropen 01250501,,,
meropen 01250502,meropen 01250502,meropen 01250502,,,
merosan,merosan,merosan,,,
mesna eg 100 mgml solution injectable pour perfusion,mesna eg 100 mgml injectable pour perfusion,mesna eg 100 mgml injectable pour perfusion,,,
metamizol 06276704,metamizol 06276704,metamizol 06276704,,,
metamizol tropfen 500mgml,metamizol tropfen 500mgml,metamizol tropfen 500mgml,,,
metex,metex,metex,,,
metex methotrexate sodium,metex methotrexate sodium,metex methotrexate,,,
metformin hyddrochloride metformin hydrochloride metformin hydrochloride,metformin hyddrochloride metformin hydrochloride metformin hydrochloride,metformin hyddrochloride metformin metformin,,,
methamphetamine saccharate,methamphetamine saccharate,methamphetamine saccharate,,,
methimazole tablets thiamazole 10 milligram tablets thiamazole,methimazole thiamazole 10 milligram thiamazole,methimazole thiamazole 10 milligram thiamazole,,,
methlyphenidate hcl,methlyphenidate hcl,methlyphenidate,,,
methocarbamol wparacetamol,methocarbamol wparacetamol,methocarbamol wparacetamol,,,
methocarbamolacetaminophen,methocarbamolacetaminophen,methocarbamolacetaminophen,,,
methocarbamolparacetamol,methocarbamolparacetamol,methocarbamolparacetamol,,,
methocarbamolparacetamol,methocarbamolparacetamol,methocarbamolparacetamol,,,
methotrexaat,methotrexaat,methotrexaat,,,
methotrexaat 75 mg,methotrexaat 75 mg,methotrexaat 75 mg,,,
methotrexaat infopl conc 100mgml brand name not specified,methotrexaat infopl conc 100mgml brand name not specified,methotrexaat infopl conc 100mgml brand name not specified,,,
methotrexaat tablet 25mg brand name not specified,methotrexaat 25mg brand name not specified,methotrexaat 25mg brand name not specified,,,
methotrexat ebewe 00113801,methotrexat ebewe 00113801,methotrexat ebewe 00113801,,,
methotrexat hc 5000 medac,methotrexat hc 5000 medac,methotrexat hc 5000 medac,,,
methotrexat methotrexate,methotrexat methotrexate,methotrexat methotrexate,,,
methotrexatteva 50 mg2 ml,methotrexatteva 50 mg2 ml,methotrexatteva 50 mg2 ml,,,
methotrexate 1000mg,methotrexate 1000mg,methotrexate 1000mg,,,
methotrexate 15 mg2 ml soluzione iniettabile,methotrexate 15 mg2 ml soluzione iniettabile,methotrexate 15 mg2 ml soluzione iniettabile,,,
methotrexate 500 mg20 ml soluzione iniettabile,methotrexate 500 mg20 ml soluzione iniettabile,methotrexate 500 mg20 ml soluzione iniettabile,,,
methotrexate 50mg2ml hospira worldwide inc,methotrexate 50mg2ml hospira worldwide inc,methotrexate 50mg2ml hospira worldwide inc,,,
methotrexate compmtx,methotrexate compmtx,methotrexate compmtx,,,
methotrexate it,methotrexate it,methotrexate it,,,
methotrexate mdv 2mlvl 25mgml novaplushospira,methotrexate mdv 2mlvl 25mgml novaplushospira,methotrexate mdv 2mlvl 25mgml novaplushospira,,,
methotrexate mylan 100 mgml,methotrexate mylan 100 mgml,methotrexate mylan 100 mgml,,,
methotrexate mylan 100 mgml solution for injection,methotrexate mylan 100 mgml for,methotrexate mylan 100 mgml for,,,
methotrexate mylan 25 mgml solution for injection,methotrexate mylan 25 mgml for,methotrexate mylan 25 mgml for,,,
methotrexate mylan 50 mg2 ml solution for injection,methotrexate mylan 50 mg2 ml for,methotrexate mylan 50 mg2 ml for,,,
methotrexate sdv 2ml 50mg2ml westward,methotrexate sdv 2ml 50mg2ml westward,methotrexate sdv 2ml 50mg2ml westward,,,
methotrexate sdv 25mgml,methotrexate sdv 25mgml,methotrexate sdv 25mgml,,,
methotrexate teva 00113801,methotrexate teva 00113801,methotrexate teva 00113801,,,
methotrexate teva teva italia srl,methotrexate teva teva italia srl,methotrexate teva teva italia srl,,,
methotrexate teva 10 pour cent 1 g10 ml solution injectable,methotrexate teva 10 pour cent 1 g10 ml injectable,methotrexate teva 10 pour cent 1 g10 ml injectable,,,
methotrexate teva 10 pour cent 5 g50 ml solution injectable,methotrexate teva 10 pour cent 5 g50 ml injectable,methotrexate teva 10 pour cent 5 g50 ml injectable,,,
methotrexate ebewe,methotrexate ebewe,methotrexate ebewe,,,
methotrexate 50mg2ml hospira,methotrexate 50mg2ml hospira,methotrexate 50mg2ml hospira,,,
methyiphenidate,methyiphenidate,methyiphenidate,,,
methyl folate,methyl folate,methyl folate,,,
methyl phenidate,methyl phenidate,methyl phenidate,,,
methyl prednisolone,methyl prednisolone,methyl prednisolone,,,
methylenedioxymethamphetamine,methylenedioxymethamphetamine,methylenedioxymethamphetamine,,,
methylephedrine hydrochloride dl,methylephedrine hydrochloride dl,methylephedrine dl,,,
methylphendidate er,methylphendidate,methylphendidate,,,
methylphenidat 10mg,methylphenidat 10mg,methylphenidat 10mg,,,
methylphenidat 1a pharma 10 mg tabletten,methylphenidat 1a pharma 10 mg tabletten,methylphenidat 1a pharma 10 mg tabletten,,,
methylphenidate er 36mg,methylphenidate 36mg,methylphenidate 36mg,,,
methylphenidate 20mg,methylphenidate 20mg,methylphenidate 20mg,,,
methylphenidate 27mg,methylphenidate 27mg,methylphenidate 27mg,,,
methylphenidate 36 kremers urban pharmaceuticals,methylphenidate 36 kremers urban pharmaceuticals,methylphenidate 36 kremers urban pharmaceuticals,,,
methylphenidate 36 mg mallinckro,methylphenidate 36 mg mallinckro,methylphenidate 36 mg mallinckro,,,
methylphenidate 36 mg mallinkrodt,methylphenidate 36 mg mallinkrodt,methylphenidate 36 mg mallinkrodt,,,
methylphenidate 36mg er,methylphenidate 36mg,methylphenidate 36mg,,,
methylphenidate 36mg mallinckrodt,methylphenidate 36mg mallinckrodt,methylphenidate 36mg mallinckrodt,,,
methylphenidate 54mg,methylphenidate 54mg,methylphenidate 54mg,,,
methylphenidate 5mg,methylphenidate 5mg,methylphenidate 5mg,,,
methylphenidate cd 40 mg teva usa,methylphenidate cd 40 mg teva usa,methylphenidate cd 40 mg teva usa,,,
methylphenidate er watson,methylphenidate watson,methylphenidate watson,,,
methylphenidate er 18 mg kremers urban pharmaceuticals,methylphenidate 18 mg kremers urban pharmaceuticals,methylphenidate 18 mg kremers urban pharmaceuticals,,,
methylphenidate er 18mg kremers urban,methylphenidate 18mg kremers urban,methylphenidate 18mg kremers urban,,,
methylphenidate er 27 mg mallinckrodt pharmaceuticals,methylphenidate 27 mg mallinckrodt pharmaceuticals,methylphenidate 27 mg mallinckrodt pharmaceuticals,,,
methylphenidate er 36 mg mallenkroft,methylphenidate 36 mg mallenkroft,methylphenidate 36 mg mallenkroft,,,
methylphenidate er 54mg,methylphenidate 54mg,methylphenidate 54mg,,,
methylphenidate er 54mg mallinckrodt,methylphenidate 54mg mallinckrodt,methylphenidate 54mg mallinckrodt,,,
methylphenidate extendedrelease tablet,methylphenidate extendedrelease,methylphenidate extendedrelease,,,
methylphenidate hc tablet extended release,methylphenidate hc extended release,methylphenidate hc extended release,,,
methylphenidate hci,methylphenidate hci,methylphenidate hci,,,
methylphenidate hci 36mg lr,methylphenidate hci 36mg lr,methylphenidate hci 36mg lr,,,
methylphenidate hci er 54 mg mallinckrodt,methylphenidate hci 54 mg mallinckrodt,methylphenidate hci 54 mg mallinckrodt,,,
methylphenidate hcl er 36mg,methylphenidate hcl 36mg,methylphenidate 36mg,,,
methylphenidate hydrochloride ex,methylphenidate hydrochloride ex,methylphenidate ex,,,
methylphenidate immediate release,methylphenidate immediate release,methylphenidate immediate release,,,
methylphenidate la 10mg,methylphenidate la 10mg,methylphenidate la 10mg,,,
methylphenidate oros,methylphenidate oros,methylphenidate oros,,,
methylphenidate sandoz,methylphenidate sandoz,methylphenidate sandoz,,,
methylphenidate methylphenidate hydrochloride,methylphenidate methylphenidate hydrochloride,methylphenidate methylphenidate,,,
methylphenydate oros,methylphenydate oros,methylphenydate oros,,,
methylprednisolon 00049601,methylprednisolon 00049601,methylprednisolon 00049601,,,
methylprednisolon methylprednisolone,methylprednisolon methylprednisolone,methylprednisolon methylprednisolone,,,
methylprednisolone methylprednisolone unknown,methylprednisolone methylprednisolone unknown,methylprednisolone methylprednisolone unknown,,,
methylprednisolone manufacturer unknown methylprednisolone sodium succinate,methylprednisolone manufacturer unknown methylprednisolone sodium succinate,methylprednisolone manufacturer unknown methylprednisolone,,,
methylprednisolone mylan 00049602,methylprednisolone mylan 00049602,methylprednisolone mylan 00049602,,,
methylprednisolone mylan 00049604,methylprednisolone mylan 00049604,methylprednisolone mylan 00049604,,,
methylprednisolone mylan methylprednisolone hemisuccinate,methylprednisolone mylan methylprednisolone hemisuccinate,methylprednisolone mylan methylprednisolone hemisuccinate,,,
methylprednisolone na succinate,methylprednisolone na succinate,methylprednisolone na,,,
methylprednisolone sandoz,methylprednisolone sandoz,methylprednisolone sandoz,,,
methylprednisolone scottedil,methylprednisolone scottedil,methylprednisolone scottedil,,,
methylprednisolone tablets 4mg,methylprednisolone 4mg,methylprednisolone 4mg,,,
methyltetrahydrofolate 5methyltetrahydrofolate,methyltetrahydrofolate 5methyltetrahydrofolate,methyltetrahydrofolate 5methyltetrahydrofolate,,,
methyphenidate er 36mg2 tabs daily,methyphenidate 36mg2 daily,methyphenidate 36mg2 daily,,,
methyphenidate hcl,methyphenidate hcl,methyphenidate,,,
methyprednisone,methyprednisone,methyprednisone,,,
